논문명,저자명,발행연도,인용된 총 횟수,참고문헌 수,소속기관,소속기관_정규화,주제분야,학술지명,발행기관명,주제어,키워드_정규화,URL,논문 ID,초록,영어초록,참고문헌목록,DOI,언어,호,등재구분,지도교수,학위구분,해외_학맥_여부,지도교수_국가
덕 윤리의 관점에서 본 『주역(周易)』,임재규,2026,0,0,서울대학교,서울대학교,기타유교학,孔子學,한국공자학회,"덕 윤리, 『주역(周易)』, 삼진구괘(三陳九卦), 덕 개념, 발전 모델, 군자","『주역(周易)』, 三陳九卦, 군자, 덕 개념, 덕 윤리, 발전 모델, 삼진구괘",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003309398,ART003309398,"필자는 현대의 덕 윤리학의 관점에서 『계사전(繫辭傳)』 삼진구괘(三陳九卦)장의 아홉 괘의 덕을 분석하였고, 『주역』 고경의 군자를 고찰하였다. 덕 윤리학의 이론 중에서 특히 마이클 슬로트의 상식적 덕 개념과 줄리아 애너스의 유덕한 행위자 모델을 분석과 고찰의 틀로 삼았다. 슬로트의 상식적 덕 개념을 가지고 삼진구괘장의 아홉 가지 덕을 분석했을 때, 다른 사람과의 관계에서 드러나는 덕으로 리(履)괘의 예의, 익(益)괘의 이타심, 손(巽)괘의 유연함 등을 들 수 있고, 자기 배려의 측면에서 칭찬받을 만한 덕으로 복(復)괘의 자기성찰, 항(恒)괘의 한결같음을 들 수 있고, 타인과의 관계와 자기 배려의 측면이 혼합되어 있는 덕으로 겸(謙)괘의 겸손, 손(損)괘의 희생정신, 곤(困)괘의 의연함, 정(井)괘의 부동심을 들 수 있다. 그리고 애너스의 유덕한 행위자 모델을 가지고 『주역』 고경의 군자를 고찰했을 때, 『주역』 고경의 군자가 ‘발전 모델’에 비교적 부합하는 것으로 보인다. 특히 『주역』 고경의 군자가 겸손한 덕을 가지고 있고 또 끊임없이 노력하고 배우고자 하는 자세를 가지고 있는 점이 보다 현실적인 모델인 ‘발전 모델’에 부합하는 것 같다. 물론 『십익』에는 성인(聖人)이라는 모델도 등장하지만 성인이 삼진구괘의 아홉 가지 덕을 모두 체득하고 있는 점에서 애너스의 ‘모범자 모델’에 가까울 듯하다.
오늘날 윤리학에서 덕 윤리를 요청하고 있는 것은 옳은 행위를 하는 것도 중요하지만 보다 더 중요한 것은 유덕한 사람이 되는 것이라고 보기 때문이다. 한 두 번의 옳은 행위를 한다고 해서 유덕한 사람이 되는 것이 아니다. 『주역』 고경의 군자처럼 겸손한 마음으로 끊임없이 노력하고 배우는 과정에서 우리는 유덕한 사람이 될 수 있다. 이러한 『주역』 고경의 군자는 공자의 모습이기도 하다.",,,http://dx.doi.org/10.37300/GongJa.58.1,한국어,58,,,,,
서옹 석호의 참사람의 윤리적 의미 - ‘덕’ 윤리와의 비교를 통해서 -,김종용,2022,0,16,동국대학교,동국대학교,불교학,대각사상,대각사상연구원,"서옹 석호(西翁石虎), 참사람, 선(禪), 불교 윤리, ‘덕’윤리, 아리스토텔레스","‘덕’윤리, 禪, 西翁石虎, 불교 윤리, 서옹 석호, 선, 아리스토텔레스, 참사람",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002850065,ART002850065,,,,,,,,,,,
인간과 인공지능의 동조: 덕 윤리를 통한 인공지능 윤리의 재구성,이희구,2023,0,30,중원대학교,중원대학교,기타인문학,인문과학연구논총,인문과학연구소,"동조, 인공지능 윤리, 덕 윤리, 챗GPT, 확률적 경사하강법","덕 윤리, 동조, 인공지능 윤리, 챗GPT, 확률적 경사하강법",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002993169,ART002993169,,,,,,,,,,,
덕 윤리의 관점에서 사회구조적 도덕성의 의미와 작용양상 규명,남궁환;이인재,2024,0,52,서울개봉초등학교,서울개봉초등학교,윤리교육학,초등도덕교육,한국초등도덕교육학회,"사회구조적 도덕성, 도덕성, 사회성, 덕 윤리","덕 윤리, 도덕성, 사회구조적 도덕성, 사회성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003124084,ART003124084,,,,,,,,,,,
긍정심리학과 유교적 행복·덕윤리와의 통섭,최용성;성지은,2022,1,45,부산대학교,부산대학교,기타인문학,퇴계학논총,사단법인 퇴계학부산연구원,"유가, 긍정심리학, 행복, 덕윤리, 통섭, 동양·한국적 맥락","긍정심리학, 덕윤리, 동양·한국적 맥락, 유가, 통섭, 행복",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002849950,ART002849950,,,,,,,,,,,
덕윤리 리더십 강화 효과,이병화,2025,0,21,청운대학교,청운대학교,과학기술학,차세대융합기술학회논문지,국제차세대융합기술학회,"덕윤리 리더십, 역량, 영성, 간호대학생","간호대학생, 덕윤리 리더십, 역량, 영성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003181305,ART003181305,,,,,,,,,,,
인공적 도덕 행위자의 덕 윤리 모듈 적용 방안 - 머신러닝과 딥러닝 활용을 중심으로 -,정진규,2022,0,23,한국외국어대학교,한국외국어대학교,학제간연구,倫理硏究,한국윤리학회,"인공지능, 인공적 도덕 행위자, 윤리 모듈, 덕 윤리, 아리스토텔레스","덕 윤리, 아리스토텔레스, 윤리 모듈, 인공적 도덕 행위자, 인공지능",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002882634,ART002882634,,,,,,,,,,,
AI는 인간의 윤리적 판단 능력을 어떻게 변화시키는가 ― 덕 윤리의 관점에서 ―,오현희;김원명,2026,0,0,한국외국어대학교 미네르바대학,한국외국어대학교,한국철학일반,한국철학논집,한국철학사연구회,"인공지능 윤리, 덕 윤리, 실천적 지혜, 윤리적 판단 능력, 윤리적 역량.","덕 윤리, 실천적 지혜, 윤리적 역량., 윤리적 판단 능력, 인공지능 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003303628,ART003303628,"본 논문은 최근 확산되고 있는 인공지능(AI) 윤리 담론을 검토하고, 그 이론적 한계를 인간의 윤리적 판단 능력 관점에서 분석한다. 기존의 AI 윤리 논의는 알고리즘의 공정성, 책임의 귀속, 기술적 통제와 같은 규범적·제도적 쟁점에 집중해 왔으나, AI 환경 속에서 인간의 윤리적 판단 능력이 어떠한 조건에서 형성되고 유지되는지에 대해서는 충분히 다루지 못하였다.
이에 본 논문은 AI 윤리를 기술의 윤리 문제가 아니라 윤리적 판단 능력의 형성 문제로 재검토할 필요성을 제기하며, 이를 위해 덕 윤리(virtue ethics)의 관점을 분석 틀로 제시한다. 덕 윤리는 윤리를 고정된 규범의 적용이나 사후적 책임의 문제가 아니라, 윤리적 행위자와 그 판단 능력이 시간 속에서 형성되고 훈련되는 과정으로 이해한다. 특히 아리스토텔레스의 실천적 지혜(phronesis) 개념을 중심으로, AI 환경에서의 윤리적 문제는 규범의 추가나 통제 장치의 강화 이전에 인간의 윤리적 판단 능력을 어떻게 유지할 것인가라는 질문으로 수렴됨을 논증한다.
본 논문에서 실천적 지혜는 지식의 축적이나 계산 능력으로서의 지능이 아니라, 복수의 가치가 충돌하는 구체적 상황에서 판단의 방향을 식별하고 책임 있게 선택할 수 있는 능력을 의미한다. 이러한 실천적 지혜 개념은 AI가 판단을 선행하는 환경 속에서도 윤리적 판단의 주체를 인간에게로 환원하는 이론적 근거를 제공한다. 이를 통해 본 논문은 AI 윤리를 규범 중심 담론에서 벗어나 윤리적 판단 능력의 형성이라는 덕 윤리 관점에서 재조명하고, AI 시대의 윤리 교육과 윤리적 실천을 사유하기 위한 철학적 토대를 제시하고자 한다.",,,http://dx.doi.org/10.35504/kph.2026..88.004,한국어,88,,,,,
의료적 관점에서 바라본 몸의 증강과 덕 윤리,유재란,2023,0,51,건국대학교,건국대학교,윤리학,인격주의 생명윤리,가톨릭생명윤리연구소,"의료 증강, 환자 자율성, 덕 윤리, 중용, 지혜, 책임","덕 윤리, 의료 증강, 중용, 지혜, 책임, 환자 자율성",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002926914,ART002926914,,,,,,,,,,,
<창선감의록>의 주요 인물들의윤리적 실천과 문학교육적 함의 —유교 윤리와 덕 윤리를 중심으로—,박길희,2025,0,23,국립순천대학교,국립순천대학교,국문학사,고전과 해석,고전문학한문학연구학회,"<창선감의록>, 윤리 실천, 유교 윤리, 덕 윤리, 문학교육","<창선감의록>, 덕 윤리, 문학교육, 유교 윤리, 윤리 실천",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003201073,ART003201073,,,,,,,,,,,
그리스도인의 성품은 어떻게 형성되는가?: 스탠리 하우어워스와 조나단 에드워즈의 덕 윤리에서 은혜의 역할 비교,전희준,2024,1,43,아신대학교,아신대학교,기독교신학,역사신학논총,한국복음주의역사신학회,"조나단 에드워즈, 스탠리 하우어워스, 덕 윤리, 성품 윤리, 은혜, 성화","덕 윤리, 성품 윤리, 성화, 스탠리 하우어워스, 은혜, 조나단 에드워즈",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003102126,ART003102126,,,,,,,,,,,
지속가능성에 대한 덕 윤리학적 접근,노희정,2023,0,32,광주교육대학교,광주교육대학교,과학/자연철학,환경철학,한국환경철학회,"지속가능성, 지속가능한 발전, 덕 윤리학, 지속가능성을 향한 교육, 프로네시스","덕 윤리학, 지속가능성, 지속가능성을 향한 교육, 지속가능한 발전, 프로네시스",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003032366,ART003032366,,,,,,,,,,,
존 웨슬리의 산상수훈설교에 나타난 성품 윤리- 스탠리 하우어워스의 덕 윤리적 방법론을 중심으로,김상기,2022,2,34,서울신학대학교 글로벌사중복음연구소,서울신학대학교,기독교신학,기독교사회윤리,한국기독교사회윤리학회,"존 웨슬리, 스탠리 하우어워스, 덕윤리, 성품윤리, 성화론, 목적론, 역사 성, 공동체성, 내러티브, 8주덕","8주덕, 공동체성, 내러티브, 덕윤리, 목적론, 성품윤리, 성화론, 스탠리 하우어워스, 역사 성, 존 웨슬리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002919172,ART002919172,,,,,,,,,,,
규범윤리학의 상대주의 수용과 덕윤리의 상대주의 논쟁,한희창,2024,0,22,서울대학교,서울대학교,철학,대동철학,대동철학회,"상대주의, 다원론적 상대주의, 규범윤리학, 왕, 덕윤리","규범윤리학, 다원론적 상대주의, 덕윤리, 상대주의, 왕",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003098589,ART003098589,,,,,,,,,,,
"니체 해석의 세 가지 방향-포스트모던적 좌파의 해석, 하이데거의 해석, 덕 윤리로 보는 해석",박찬국,2024,0,20,서울대학교,서울대학교,기타인문학,인문논총,인문학연구원,"니체, 포스트모던적 좌파, 하이데거, 덕 윤리","니체, 덕 윤리, 포스트모던적 좌파, 하이데거",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003146123,ART003146123,,,,,,,,,,,
덕 윤리 관점에서 자발적인 도덕적 사고･판단 능력 함양을 위한 수업 방안 -립맨(M. Lipman)의 “어린이를 위한 철학”을 활용하여-,남궁환,2025,0,28,서울개봉초등학교,서울개봉초등학교,윤리교육학,초등도덕교육,한국초등도덕교육학회,"어린이를 위한 철학, 자발적인 도덕적 사고･판단 능력 함양, 덕 윤리, 도덕적 사고･판단 관련 절차적 지식","덕 윤리, 도덕적 사고･판단 관련 절차적 지식, 어린이를 위한 철학, 자발적인 도덕적 사고･판단 능력 함양",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003184962,ART003184962,,,,,,,,,,,
리더십 이론과 리더의 윤리에 관한 연구: 덕 윤리와 VBO 모델을 중심으로,심규빈;여유나;김상수,2026,0,0,육군사관학교,육군사관학교,교육학,정신전력연구,국방정신전력원,"리더십이론, 리더의윤리, 덕윤리, VBO모델","VBO모델, 덕윤리, 리더십이론, 리더의윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003305239,ART003305239,"일반사회의리더들과달리군리더들은전투상황이나고도의스트레스가수반되는환경속에서윤리적판단과결정을내려야하는순간에빈번히직면하며, 이들의도덕적성공과실패는구성원과조직전체에중대한영향을미친다.이러한맥락에서본연구는구성원들에게방향성을제시하는리더십에서윤리가어떠한위상을지니는지,나아가리더의윤리가선천적자질에머무르는것이아니라개발가능한역량인지에대한문제의식에서출발한다.
이에본연구의목적은현대주요리더십이론들이리더의윤리를어떻게전제하고있는지를분석하고,리더의윤리를개발할수있는이론적방안을제시하는데있다.이를위해아리스토텔레스의『니코마코스윤리학』에기초한덕윤리와관련문헌을중심으로현대리더십이론을분석하였다.그결과,현대리더십이론들은윤리적요소를포함하고있으나,철학적관점에서윤리가어떠한과정을통해발현되고작동하는지에대한설명은상대적으로부족함을확인하였다.
이에따라본연구는리더에게요구되는윤리를중용의덕목을성격강점으로이해하는덕윤리로재정의하고,이를수정된VBO(Virtue-BasedOrientation)모델을통해개발할수있음을제시하였다.본연구는철학적관점에서현대리더십이론과리더의윤리를통합적으로분석함으로써연구주제를확장하는데기여하며,아울러우리군의초급리더들에게는리더십발휘의전제조건으로서덕윤리를제시하고,의사결정권한을보유한지휘관들에게는윤리적딜레마상황에서활용가능한의사결정모델을제공함으로써실무적함의점을제시한다.",,,http://dx.doi.org/10.23054/jsmfe.2026..84.009,한국어,84,,,,,
아우구스티누스와 스탠리 하우어워스의 덕윤리의 비교를 통한 기독교 공동체의 덕 형성과 성숙을 위한 연구,박덕현,2023,0,60,장로회신학대학교,장로회신학대학교,기독교신학,한국기독교신학논총,한국기독교학회,"덕윤리, 기독교 덕윤리, 아우구스티누스, 스탠리 하우어워스, 덕의 창조, 덕의 보존","기독교 덕윤리, 덕윤리, 덕의 보존, 덕의 창조, 스탠리 하우어워스, 아우구스티누스",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003006619,ART003006619,,,,,,,,,,,
흄의 자연주의와 덕 윤리,변영진,2023,0,11,제주대학교,국립제주대학교,학제간연구,倫理硏究,한국윤리학회,"인간학, 자연주의, 도덕 감정, 공감, 자연적 덕, 인위적 덕","공감, 도덕 감정, 인간학, 인위적 덕, 자연적 덕, 자연주의",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002942710,ART002942710,,,,,,,,,,,
정의라는 덕의 인공지능 구현 연구 - 인공지능 덕 윤리 행위 주체(AVA) 아키텍처에 요셉 피퍼의 정의 구조 연결하기,이희구,2026,0,0,중원대학교,중원대학교,기타인문학,인문과학연구,인문과학연구소,"인공 덕 윤리 행위 주체(AVA), 정의의 덕, 전문가 혼합 모델(MoE), LLM 멀티 에이전트 시스템, 게임이론","AVA, LLM 멀티 에이전트 시스템, MoE, 게임이론, 인공 덕 윤리 행위 주체, 전문가 혼합 모델, 정의의 덕",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003322464,ART003322464,"본 연구는 야콥 스텐세케의 인공 덕 윤리 행위 주체 아키텍처에서 미규정상태로 남겨진 개별 덕의 기계적 구현 문제를, 정의의 덕을 중심으로 탐색한다. 덕 윤리에서 정의는 내적 품성을 다루는 여타의 덕과 달리 타자와의 외적행위를 규정하는 고유한 위상을 지닌다. 이 특수성에 근거하여, 본 논문은 정의의 덕이 스텐세케 아키텍처의 덕 네트워크로부터 분리되어 전문가 혼합 모델(MoE) 구조로 재배치되어야 함을 논증한다. 이 MoE 구조의 설계 원리로서요셉 피퍼의 정의 삼중 도식(분배정의-교환정의-법적 정의)을 도입하고, 각정의 유형에 대응하는 세 전문 에이전트(분배정의 에이전트, 교환정의 에이전트, 법적 정의 에이전트)를 제안한다. 각 에이전트는 LLM 기반 멀티 에이전트시스템으로 구현되며, 공공재 게임, 반복 죄수의 딜레마, 메커니즘 디자인 등게임이론적 추론 프레임을 통해 정의로운 행위를 산출한다. 특히 LLM 에이전트가 게임이론적 상황에서 보이는 친사회적 편향이 AVA가 지향하는 덕 기반성향적 행위의 기능적 등가물로 해석될 수 있음을 논증한다",,,http://dx.doi.org/10.33252/sih.2026.3.88.203,한국어,88,,,,,
비도덕적인 행동에 관한 덕 윤리의 관점 보완 방안 연구 -반두라(A. Bandura)의 도덕적 이탈 메커니즘과의 비교를 통해-,남궁환,2024,0,40,서울개봉초등학교,서울개봉초등학교,윤리교육학,초등도덕교육,한국초등도덕교육학회,"비도덕적인 행동의 유형화, 비도덕적인 행동의 교정 방안, 덕 윤리, 반두라, 도덕적 이탈 메커니즘","덕 윤리, 도덕적 이탈 메커니즘, 반두라, 비도덕적인 행동의 교정 방안, 비도덕적인 행동의 유형화",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003152270,ART003152270,,,,,,,,,,,
『니코마코스 윤리학』을 통해 본 아리스토텔레스 덕윤리의 성격과 의의,노영란,2023,1,24,전남대학교,전남대학교,학제간연구,倫理硏究,한국윤리학회,"아리스토텔레스, 탁월성(덕), 행복, 실천적 지혜, 자제력 없음, 합리적 선택, 즐거움","덕, 실천적 지혜, 아리스토텔레스, 자제력 없음, 즐거움, 탁월성, 합리적 선택, 행복",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002974678,ART002974678,,,,,,,,,,,
좋은 삶을 방해하는 구조적이고 구성적인 악운에 대하여 ― 후기식민주의 비평에 대한 덕 윤리적 접근,홍혜빈,2025,0,36,독립연구자,독립연구자,기독교신학,신학사상,신학사상연구소,"도덕 운, 좋은 삶, 선의 연약함, 도덕적 훼손, 부담스러운 덕, 후기식민주의 덕 윤리","도덕 운, 도덕적 훼손, 부담스러운 덕, 선의 연약함, 좋은 삶, 후기식민주의 덕 윤리",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003187048,ART003187048,,,,,,,,,,,
덕 윤리의 역사적 전개와 규범화 ― 좋은 삶의 규범화 가능성을 위한 시론,김대근,2025,0,29,,소속 미상,법학,법철학연구,한국법철학회,"옳음, 좋음, 덕, 에우다이모니아, 소크라테스, 플라톤, 아리스토텔레스, 프로네시스, 역량","덕, 소크라테스, 아리스토텔레스, 에우다이모니아, 역량, 옳음, 좋음, 프로네시스, 플라톤",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003202199,ART003202199,,,,,,,,,,,
스탠리 하우어워스의 습관에 관한 이해,김희준,2024,0,26,숭실대학교,숭실대학교,기독교신학,기독교사회윤리,한국기독교사회윤리학회,"스탠리 하우어워스, 덕 윤리, 습관, 아리스토텔레스, 토마스 아퀴나스, 소망","덕 윤리, 소망, 스탠리 하우어워스, 습관, 아리스토텔레스, 토마스 아퀴나스",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003162120,ART003162120,,,,,,,,,,,
AI와 인간 주체성의 철학적 재구성-주인-노예 변증법을 넘어 덕 윤리의 구조적 실천으로-,장운혁,2025,0,35,경기대학교 산업경영공학과,경기대학교,철학,대동철학,대동철학회,"인공지능 윤리, 인간 주체성, 주인-노예 변증법, 덕 윤리, 구조적·제도적 실천","구조적·제도적 실천, 덕 윤리, 인간 주체성, 인공지능 윤리, 주인-노예 변증법",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003290506,ART003290506,,,,,,,,,,,
몸 의존적인 도덕적 판단에 대한 비판적 고찰- 덕윤리의 관점에서 -,한곽희,2022,0,26,영남대학교,영남대학교,철학,철학논총,새한철학회,"체화된 인지, 도덕적 판단, 피니어스 게이지, 자기충실성, 도덕심리실험","도덕심리실험, 도덕적 판단, 자기충실성, 체화된 인지, 피니어스 게이지",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002840125,ART002840125,,,,,,,,,,,
조슈아 그린의 윤리학 분류법에 대한 비판적 고찰,정결,2023,0,17,서울교육대학교,서울교육대학교,윤리교육학,윤리교육연구,한국윤리교육학회,"조슈아 그린, 이중과정 이론, 덕 윤리, 의무론, 결과주의","결과주의, 덕 윤리, 의무론, 이중과정 이론, 조슈아 그린",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002982481,ART002982481,,,,,,,,,,,
바울의 제자도에 나타난 사회적 영성-덕윤리적접근,문시영,2022,1,37,남서울대학교,남서울대학교,기독교신학,기독교사회윤리,한국기독교사회윤리학회,"제자도, 사회적 영성, 공동체, 덕 윤리, 바울","공동체, 덕 윤리, 바울, 사회적 영성, 제자도",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002838933,ART002838933,,,,,,,,,,,
